Name,RollNumber,Subject,Trade
Elsie Harris,1,86,Electrical Engineering
Hilton McGlynn,2,85,Mechanical Engineering
Schuyler Leannon,3,57,Electrical Engineering
Jennie Rolfson,4,80,Computer Science
Chase Ondricka,5,60,Civil Engineering
Eugene Nitzsche,6,100,Electrical Engineering
Mustafa Armstrong,7,98,Chemical Engineering
Shanie Swaniawski,8,57,Chemical Engineering
Gust Volkman,9,78,Computer Science
Tess Leffler,10,76,Chemical Engineering
Abdullah Walter,11,42,Chemical Engineering
Vena Kirlin,12,94,Electrical Engineering
Willis Powlowski,13,86,Computer Science
Jovan Schaden,14,49,Civil Engineering
Boyd Zemlak,15,71,Electrical Engineering
Saul Kohler,16,63,Mechanical Engineering
Candice Koch,17,59,Mechanical Engineering
Annamarie O'Reilly,18,79,Electrical Engineering
Gerard Schroeder,19,58,Electrical Engineering
Florence Leannon,20,43,Computer Science
Ben Homenick,21,75,Civil Engineering
Giovanny Schulist,22,53,Mechanical Engineering
Kyla Halvorson,23,66,Chemical Engineering
Terry Towne,24,51,Civil Engineering
Kaleb Cummings,25,70,Civil Engineering
Virgil Lynch,26,45,Computer Science
Odell Schaden,27,96,Civil Engineering
Monte Doyle,28,90,Mechanical Engineering
Logan Franecki,29,62,Chemical Engineering
America Hirthe,30,65,Civil Engineering
Darrick Hamill,31,40,Civil Engineering
Fredrick Jacobi,32,51,Mechanical Engineering
Vladimir Breitenberg,33,69,Electrical Engineering
Royce Larson,34,51,Civil Engineering
Geraldine Mante,35,60,Computer Science
Melody Ebert,36,42,Electrical Engineering
Burnice Weber,37,49,Mechanical Engineering
Tremayne White,38,85,Civil Engineering
Lucienne Roberts,39,53,Electrical Engineering
Jake Baumbach,40,56,Mechanical Engineering
Marion Hackett,41,85,Computer Science
Jon Labadie,42,93,Chemical Engineering
Percival Kris,43,95,Computer Science
Creola Kassulke,44,44,Computer Science
Birdie Lebsack,45,58,Chemical Engineering
Imogene Price,46,93,Civil Engineering
Wanda Langosh,47,88,Chemical Engineering
Nayeli Luettgen,48,73,Computer Science
Bria Blick,49,52,Electrical Engineering
Delilah Simonis,50,75,Mechanical Engineering
Josue Schiller,51,72,Mechanical Engineering
Antonette Boehm,52,81,Mechanical Engineering
Justen Rutherford,53,45,Electrical Engineering
Cecelia Nikolaus,54,74,Chemical Engineering
Hipolito Gutkowski,55,53,Mechanical Engineering
Selmer Berge,56,73,Chemical Engineering
Stephanie Ryan,57,50,Electrical Engineering
Alberto Hudson,58,42,Electrical Engineering
Jazmin Gerlach,59,71,Civil Engineering
Josue O'Conner,60,71,Mechanical Engineering
Rhiannon Schoen,61,57,Chemical Engineering
Mac Boyer,62,67,Mechanical Engineering
Pearline Beer,63,90,Mechanical Engineering
Rhett Olson,64,56,Chemical Engineering
Dewayne Bradtke,65,71,Chemical Engineering
Dominic Bruen,66,91,Computer Science
Makenna Kozey,67,95,Civil Engineering
Moises Hessel,68,87,Chemical Engineering
Aaron Ryan,69,69,Civil Engineering
Johathan Johns,70,46,Civil Engineering
Gaetano Simonis,71,78,Chemical Engineering
Erna Hoeger,72,51,Mechanical Engineering
Madisyn Lowe,73,62,Computer Science
Elisha Labadie,74,70,Mechanical Engineering
Yoshiko Ernser,75,86,Computer Science
Kay Spencer,76,49,Civil Engineering
Linnea Block,77,52,Chemical Engineering
Virginia McGlynn,78,89,Mechanical Engineering
Montana O'Conner,79,46,Computer Science
Walter Bartoletti,80,60,Electrical Engineering
Leonel Turner,81,96,Chemical Engineering
Virgil Rutherford,82,41,Mechanical Engineering
Arden Durgan,83,56,Chemical Engineering
Viola Gleichner,84,71,Mechanical Engineering
Hilda Funk,85,46,Computer Science
Emanuel Boyer,86,65,Electrical Engineering
Murphy Stehr,87,95,Computer Science
Ole Johns,88,74,Civil Engineering
Athena Treutel,89,43,Electrical Engineering
Connie Bailey,90,52,Chemical Engineering
Jakayla McCullough,91,79,Electrical Engineering
Christine McDermott,92,86,Computer Science
Israel Muller,93,60,Computer Science
Kiara Sawayn,94,80,Chemical Engineering
Myrna Kohler,95,93,Computer Science
Vladimir Hammes,96,43,Electrical Engineering
Price Fisher,97,92,Mechanical Engineering
Davonte Lesch,98,99,Electrical Engineering
Woodrow Marquardt,99,76,Chemical Engineering
Maurice Orn,100,97,Electrical Engineering
